coname,gvkey,year,cusip,exchange,city,state,zip,spcode,ticker
MAXLINEAR INC,184551,2019,57776J10,NYS,Carlsbad,CA,92008,SM,MXL
ENVESTNET INC,184576,2019,29404K10,NYS,Chicago,IL,60601,MD,ENV
CHATHAM LODGING TRUST,184688,2019,16208T10,NYS,West Palm Beach,FL,33401,SM,CLDT
FLEETCOR TECHNOLOGIES INC,184700,2019,33904110,NYS,Atlanta,GA,30305,SP,FLT
NXP SEMICONDUCTORS NV,184725,2019,N6596X10,NAS,Eindhoven,,5656,SP,NXPI
FIRST AMERICAN FINANCIAL CP,184899,2019,31847R10,NYS,Santa Ana,CA,92707,MD,FAF
TESLA INC,184996,2019,88160R10,NAS,Palo Alto,CA,94304,SP,TSLA
HUDSON PACIFIC PPTYS INC,185018,2019,44409710,NYS,Los Angeles,CA,90025,MD,HPP
CORESITE REALTY CORP,185177,2019,21870Q10,NYS,Denver,CO,80202,MD,COR
VERA BRADLEY INC,185195,2019,92335C10,NAS,Roanoke,IN,46783,SM,VRA
WALKER & DUNLOP INC,185370,2019,93148P10,NYS,Bethesda,MD,20814,SM,WD
EVERTEC INC,185375,2019,30040P10,NYS,San Juan,PR,00926,SM,EVTC
SUMMIT HOTEL PROPERTIES INC,185396,2019,86608210,NYS,Austin,TX,78738,SM,INN
WHITESTONE REIT,185453,2019,96608420,NYS,Houston,TX,77063,SM,WSR
TARGA RESOURCES CORP,185532,2019,87612G10,NYS,Houston,TX,77002,MD,TRGP
AMERICAN ASSETS TRUST INC,185549,2019,02401310,NYS,San Diego,CA,92121,SM,AAT
SABRA HEALTH CARE REIT INC,185618,2019,78573L10,NAS,Irvine,CA,92612,MD,SBRA
BANKUNITED INC,185824,2019,06652K10,NYS,Miami Lakes,FL,33016,SM,BKU
PACIRA BIOSCIENCES INC,185836,2019,69512710,NAS,Parsippany,NJ,07054,SM,PCRX
SUPERNUS PHARMACEUTICALS INC,186159,2019,86845910,NAS,Rockville,MD,20850,SM,SUPN
HUNTINGTON INGALLS IND INC,186310,2019,44641310,NYS,Newport News,VA,23607,SP,HII
SUNCOKE ENERGY INC,186773,2019,86722A10,NYS,Lisle,IL,60532,SM,SXC
CHEFS' WAREHOUSE INC,186960,2019,16308610,NAS,Ridgefield,CT,06877,SM,CHEF
MARATHON PETROLEUM CORP,186989,2019,56585A10,NYS,Findlay,OH,45840,SP,MPC
